fix_name,latitude,longitude,type
05NC,34.75944444,-76.64472222,AIRPORT
05NE,41.72223305,-98.30895833,AIRPORT
05NJ,40.71339722,-74.03202222,AIRPORT
05NR,36.16841527,-79.27690819,AIRPORT
05NV,39.02583333,-114.095,AIRPORT
05NY,43.55201388,-76.09020111,AIRPORT
05OG,44.05953888,-123.11884722,AIRPORT
05OH,40.18466666,-81.920625,AIRPORT
05OK,35.47136388,-98.54170833,AIRPORT
05OR,45.44425,-117.34730555,AIRPORT
05PA,39.95483472,-75.17823388,AIRPORT
05PN,40.30008861,-76.85802833,AIRPORT
05PS,40.14277777,-77.86194444,AIRPORT
05S,45.85210625,-123.2428693,AIRPORT
05TA,29.80908055,-96.26396388,AIRPORT
05TE,30.72213333,-97.7914025,AIRPORT
05TN,35.14229444,-90.03153611,AIRPORT
05TX,32.12916666,-97.40416666,AIRPORT
05U,39.60375,-116.00361111,AIRPORT
05UT,37.28808405,-113.69694422,AIRPORT
05V,37.41111916,-105.55168,AIRPORT
05VA,37.22416666,-78.41861111,AIRPORT
05VT,45.01236666,-73.08629722,AIRPORT
05WA,47.64912777,-117.41307777,AIRPORT
05WI,42.65112444,-88.74593861,AIRPORT
05WN,48.70222222,-118.0475,AIRPORT
05XA,35.86363055,-101.97094444,AIRPORT
05XS,33.0785,-91.56183333,AIRPORT
05Y,46.30398888,-95.44225833,AIRPORT
06A,32.46047222,-85.68002777,AIRPORT
06AA,60.54013888,-150.81361111,AIRPORT
06AK,61.62761944,-149.57533055,AIRPORT
06AL,31.38843888,-85.972425,AIRPORT
06AN,60.7338195,-151.213594,AIRPORT
06AR,35.54452194,-92.18487444,AIRPORT
06AZ,33.28845833,-111.75223333,AIRPORT
06B,44.90701333,-68.80503611,AIRPORT
06C,41.98934083,-88.10124277,AIRPORT
06CA,34.86898055,-116.83203611,AIRPORT
06CL,34.15729444,-118.28871666,AIRPORT
06CO,37.38751388,-103.69106111,AIRPORT
06D,48.88441722,-99.62092666,AIRPORT
06FA,26.90815305,-80.32841402,AIRPORT
06FD,28.64166666,-81.885,AIRPORT
06FL,27.95354444,-82.80624444,AIRPORT
06GA,33.75343972,-84.16214027,AIRPORT
06I,38.43338861,-86.69110222,AIRPORT
06IA,41.84014166,-91.83441388,AIRPORT
06ID,43.462665,-116.35900833,AIRPORT
06IL,41.59952777,-88.86994444,AIRPORT
06IN,39.17833902,-86.50150625,AIRPORT
06IS,40.54643166,-91.27431583,AIRPORT
06KY,38.64555555,-84.58230555,AIRPORT
06LA,29.84604,-90.02784861,AIRPORT
06M,33.53483333,-89.31311111,AIRPORT
06MA,42.69064444,-71.60895805,AIRPORT
06MD,39.29136111,-76.54626388,AIRPORT
06ME,44.41524722,-70.844275,AIRPORT
06MI,42.25111111,-84.39138888,AIRPORT
06MN,47.51652222,-94.08643888,AIRPORT
06MO,39.23087638,-94.80153611,AIRPORT
06MT,48.55831722,-112.10920361,AIRPORT
06N,41.43191194,-74.39156083,AIRPORT
06NC,34.8275,-78.93027777,AIRPORT
06NH,42.92842222,-70.97311111,AIRPORT
06NJ,40.50183719,-74.445735,AIRPORT
06NV,39.09833333,-114.15027777,AIRPORT
06NY,42.84277777,-76.44527777,AIRPORT
06O1,41.11458055,-80.65905555,AIRPORT
06OH,41.50977611,-80.59118583,AIRPORT
06OI,39.73477805,-84.38222222,AIRPORT
06PA,41.996,-78.2865,AIRPORT
06TA,30.90852027,-97.11693638,AIRPORT
06TE,30.31295833,-95.02728472,AIRPORT
06TN,35.69729138,-86.9569475,AIRPORT
06TS,31.42159166,-99.836575,AIRPORT
06TT,30.86002361,-100.20199583,AIRPORT
06U,41.97583083,-114.65801555,AIRPORT
06VA,38.24901861,-78.85530333,AIRPORT
06WA,47.68628472,-117.19798388,AIRPORT
06WI,45.40276111,-87.85731666,AIRPORT
06WN,46.92498472,-122.55303888,AIRPORT
06XA,33.44598333,-96.57079722,AIRPORT
06XS,33.32472222,-97.04416666,AIRPORT
06Y,45.82996055,-96.16061444,AIRPORT
07A,32.1675925,-85.81119666,AIRPORT
07AA,61.69596388,-149.95490277,AIRPORT
07AL,31.12101388,-85.97724166,AIRPORT
07AN,62.82555586,-149.91080747,AIRPORT
07AR,35.1945275,-92.80016611,AIRPORT
07AZ,33.630113,-111.909008,AIRPORT
07CL,39.49766361,-121.77136472,AIRPORT
07F,32.52883333,-94.97175,AIRPORT
07FA,25.32430694,-80.27572916,AIRPORT
07FD,25.78777777,-80.21555555,AIRPORT
07FL,28.87688888,-82.49108333,AIRPORT
07GA,33.675,-83.76305555,AIRPORT
07GE,31.55566166,-83.27848958,AIRPORT
07I,39.06133333,-86.44608333,AIRPORT
07IA,40.6478875,-95.02135,AIRPORT
07ID,48.14921,-116.99801333,AIRPORT
07II,39.01060916,-85.6408025,AIRPORT
07IN,39.57365888,-85.91387055,AIRPORT
07K,41.1115613,-98.05133561,AIRPORT
07KS,37.73418388,-96.93670083,AIRPORT
07KY,38.0806225,-85.6932925,AIRPORT
07LA,31.053,-92.632875,AIRPORT
07LS,32.51825,-91.9891,AIRPORT
07MA,41.9170475,-70.70948055,AIRPORT
07MD,39.60904722,-77.04799722,AIRPORT
07MN,44.29938888,-94.72950833,AIRPORT
07MO,38.65001472,-93.61687944,AIRPORT
07MT,48.42109508,-106.52771588,AIRPORT
07N,40.01676166,-77.00386666,AIRPORT
07NC,34.83320416,-80.75117833,AIRPORT
07NH,43.17555555,-72.06388888,AIRPORT
07NJ,40.79375833,-73.99479722,AIRPORT
07NV,39.10222222,-114.05333333,AIRPORT
07OK,34.63340472,-99.03368861,AIRPORT
07PA,41.85308055,-80.4072,AIRPORT
07PN,40.99888888,-78.12527777,AIRPORT
07PR,18.48941666,-67.02631388,AIRPORT
07R,27.61016666,-97.75252777,AIRPORT
07S,37.65930416,-96.52769166,AIRPORT
07TA,29.24051944,-95.34465833,AIRPORT
07TE,33.54407611,-97.03158708,AIRPORT
07TS,30.62545555,-97.57135277,AIRPORT
07UT,41.71666666,-112.44722222,AIRPORT
07V,37.52382444,-105.00926861,AIRPORT
07VA,36.82188888,-78.76686111,AIRPORT
07VT,44.44722222,-72.91472222,AIRPORT
07WA,47.65163888,-117.42432222,AIRPORT
07WI,42.59913333,-88.54001944,AIRPORT
07XA,29.90649166,-97.214375,AIRPORT
07XS,32.54218333,-97.39168333,AIRPORT
07Y,46.955895,-93.59744288,AIRPORT
08A,32.52733333,-86.33102777,AIRPORT
08AK,61.56963888,-149.72443888,AIRPORT
08AN,61.70429455,-149.21250577,AIRPORT
08AR,33.72361111,-94.14527777,AIRPORT
08AZ,33.41768055,-111.83882777,AIRPORT
08B,44.0,-69.88713888,AIRPORT
08C,42.93672263,-85.8057525,AIRPORT
08CA,38.69522222,-120.82605555,AIRPORT
08CL,37.85964916,-120.55436638,AIRPORT
08CO,38.73247222,-104.04133333,AIRPORT
08CT,41.89599722,-73.09314722,AIRPORT
08D,48.30138638,-102.40806027,AIRPORT
08F,34.52948888,-96.23309722,AIRPORT
08FD,27.36309833,-80.7726,AIRPORT
08FL,27.08449694,-81.32868333,AIRPORT
08GA,31.42578027,-81.28592888,AIRPORT
08GE,32.17012083,-81.454075,AIRPORT
08ID,43.56932527,-116.776805,AIRPORT
08II,41.645075,-85.42640555,AIRPORT
08IL,41.86038333,-88.65574166,AIRPORT
08IN,40.48350833,-85.54238888,AIRPORT
08K,40.65133333,-98.07988888,AIRPORT
08KS,39.0343875,-97.57999861,AIRPORT
08KT,37.62833333,-87.947,AIRPORT
08KY,36.97308888,-84.62603611,AIRPORT
08LL,41.07527777,-88.48916666,AIRPORT
08LS,30.40925,-92.03316666,AIRPORT
08M,32.76158333,-89.53038888,AIRPORT
08MD,39.38841944,-76.61081388,AIRPORT
08ME,44.81422388,-70.34534361,AIRPORT
08MI,42.7344788,-84.5360433,AIRPORT
08MN,47.66937388,-93.05444444,AIRPORT
